Image Name,Mode,Channel,x_bar,y_bar,VAR(X), VAR(Y),"COV(X,Y)","Correlation(X,Y)"
04_Peppers.bmp,VD,RChannel,149.82,149.75,2035.48,2041.71,1969.97,0.966341
04_Peppers.bmp,VD,GChannel,115.79,115.5,5616.75,5630.88,5521.33,0.981778
04_Peppers.bmp,VD,BChannel,66.31,66.47,1937.74,1958.11,1882.51,0.966428
04_Peppers.bmp,DD,RChannel,149.88,149.87,2035.41,2036.27,1951.45,0.958547
04_Peppers.bmp,DD,GChannel,115.79,115.73,5615.86,5615.74,5452.25,0.970877
04_Peppers.bmp,DD,BChannel,66.29,66.6,1937.8,1953.28,1843.95,0.947791
04_Peppers_en.bmp,HD,RChannel,127.48,127.48,5455.49,5455.21,1.3,0.000238
04_Peppers_en.bmp,HD,GChannel,127.69,127.7,5455.41,5456.17,-1.8,-0.000331
04_Peppers_en.bmp,HD,BChannel,127.55,127.55,5461.92,5461.08,18.71,0.003426
04_Peppers_en.bmp,VD,RChannel,127.47,127.47,5455.86,5455.3,-5.81,-0.001065
04_Peppers_en.bmp,VD,GChannel,127.69,127.7,5456.04,5456.57,23.57,0.00432
04_Peppers_en.bmp,VD,BChannel,127.55,127.54,5459.9,5460.97,3.49,0.00064
04_Peppers_en.bmp,DD,RChannel,127.48,127.48,5455.39,5454.57,-8.13,-0.00149
04_Peppers_en.bmp,DD,GChannel,127.7,127.7,5455.5,5456.81,-4.63,-0.000848
04_Peppers_en.bmp,DD,BChannel,127.55,127.54,5460.44,5460.7,-4.29,-0.000785
05_Sailboat.bmp,HD,RChannel,131.06,131.08,1831.5,1829.12,1749.4,0.955794
05_Sailboat.bmp,HD,GChannel,124.34,124.55,6030.25,6008.8,5847.91,0.971491
05_Sailboat.bmp,HD,BChannel,114.94,115.12,5905.75,5890.35,5727.25,0.971042
05_Sailboat.bmp,VD,RChannel,131.0,131.01,1826.22,1833.55,1745.9,0.954107
05_Sailboat.bmp,VD,GChannel,124.55,124.28,6008.8,6029.98,5816.3,0.966261
05_Sailboat.bmp,VD,BChannel,114.86,114.88,5914.2,5905.93,5729.09,0.96938
05_Sailboat.bmp,DD,RChannel,131.05,131.08,1826.28,1831.25,1714.03,0.937258
